,순번,분류1,분류2,주요등급,상황1,상황2,특약사항,상황상세,목적,목차를위한텍스트
,1,공통,개인정보,A,동의,계약의 당사자 외 이해관계인(대리인)의 개인정보,계약당사자 및 이해관계인은 개인정보수집 및 이용활용에 동의한다. ,계약의 당사자 외 이해관계인(대리인)의 개인정보를 이용할 경우.,"개인정보 수집 목적, 보유기간, 이용기간. 수집이용에 대한 동의를 확인하기 위함.",공통개인정보동의
,2,공통,확인설명,A,서류에 대한 설명,"특약사항 및 확인설명서에 한번 더 확인이 필요하거나, 중요한 사항이 포함",본 계약은 양 당사자가 위 특약사항과 확인 설명서를 읽고 확인 후 계약서에 서명날인한다. ,선순위근저당으로 임차보증금에 불측의 손실이 발생할 수 있을 경우,거래당사자 협의사항 이행,공통확인설명서류에 대한 설명
,3,공통,일정협의,B,잔금협의,"정황상 매수인의 신용상태와 자금계획이 허수룩한 경우

공실상태에서 매도인의 승낙이 가능한 경우","잔금일은 대출실행이 늦어질 경우, 대출 실행일로 변경할 수 있다. 단, 원래 잔금일에서 00일이 경과할 경우, 매도(임대)인은 매수(임차)인의 책임있는 사유로 계약을 해제 할 수 있다.",임차인이 전세권설정을 요구하는 경우,전세권설정에 따른 임대인의 협조,공통일정협의잔금협의
,4,공통,일정협의,A,잔금협의,계약일의 융통성이 필요,"잔금 지급일은 매도인(임대인)과 매수인(임차인)의 상호협의하에 조정될 수 있다. 단, 00월00일 이내로 한다. ",거래당사자의 협의사항,초일불산입등 기산일 명확,공통일정협의잔금협의
,5,공통,개인정보,B,기간,개인정보 이용기간을 보다 명확하게 명시할 필요,"개인정보는 부동산계약 미체결 시 즉시파기하기로 하며, 부동산 계약 체결 시 잔금일로부터 5년(확인설명서 보유기간)으로 한다.",계약서 작성일과 계약금의 입금시기가 다를 경우.,계약금의 입금일을 명확하게 하기 위함.,공통개인정보기간
,6,공통,일정협의,B,잔금협의,"정황상 매수인의 신용상태와 자금계획이 허수룩한 경우

현재 거주중으로 잔금일의 변경이 어려울 경우",잔금일에 대출실행이 불가하거나 잔금일이 늦춰질 경우 손해배상책임은 매수인 or 임차인이 부담하기로 한다.,임차인이 전세권을 담보권으로 악용할 소지가 있을 경우,임대인의 불측의 손해를 예방하고 전세권이 담보권으로 악용되는 것을 방지할 목적,공통일정협의잔금협의
,7,공통,경매,C,매도인 책임,계약 목적물이 경매로 진행,"본 계약의 목적물은 경매가 진행되고 있으나, 매도(임대)인은 00월00일까지 경매의 원인을 제거하여 매수(임차)인이 사용수익하는데 문제없도록 책임진다.","부동산 계약 시, 계약의 당사자가 모든 합의내용을 정하지 못할 경우.","계약의 당사자가 분쟁이 일어날 경우 해당조항으로 인하여 판례, 관례를 통해 분쟁을 해결하기 위함.",공통경매매도인 책임
,8,공통,경매,C,매수인 책임,"계약 목적물이 경매로 진행중 매수
or 임차인이 인지하고 계약을 진행할 경우
","본 계약의 목적물은 경매가 진행되고 있으므로 매수(임차)인은 이에 따른 상태를 명확하게 확인하고, 추후, 경매진행 결과에 따라 강제집행 당할 수 있음을 인지하고 계약을 체결한다.",잔금일이 이사날인 경우에 사용(잔금일 전에 인테리어 등을 위해 사용한다면 관리비 및 기타 사용료의 기산점은 별도로 협의),조세 및 공과금의 기산점을 명확하게 하기 위함.,공통경매매수인 책임
,9,공통,계약금,A,계좌이체,계약서 작성일과 계약금의 입금시기가 다름,계약금 00원은 00월00일에 00은행 00계좌로 입금하기로 한다. ,소유자를 대리하여 대리인이 계약을 체결할 경우.,계약의 당사자가 대리계약임을 인지하기 위함.,공통계약금계좌이체
,10,공통,계약금,C,계좌이체,계약금을 계약일 보다 먼저 입금,계약금 00원은 매수(임차)인이 00월00일 00은행 00계좌로 입금한 금액으로 갈음한다.,소유자를 대리하여 대리인이 계약을 체결하기 위한 일체의 서류를 준비한 경우.,계약의 당사자가 대리계약임을 인지하기 위함.,공통계약금계좌이체
,11,공통,분할지급,B,소유자 분할지급,계약금을 2인 이상에게 분할하여 입금,"본 계약의 목적물은 소유자가 00명이므로 (계약, 중도, 잔)금 10원 중 5원은 '갑'에게 입급하고, 5원은 '을'에게 입금한다.",계약의 목적물에 옵션 또는 인테리어 등이 매매대금에 포함 되는 경우.,계약 당사자의 협의된 내용을 명확하게 하기 위함.,공통분할지급소유자 분할지급
,12,공통,신탁,C,수탁자 확인,계약 목적물이 신탁회사에 신탁,"본 계약의 목적물은 담보신탁에 해당하므로 위탁자는 (계약,중도,잔)금일 까지 수탁자의 계약의 허락을 받아 주기로 한다.",계약 목적물이 신축으로 준공검사가 완료되지 않은 경우.,계약 목적물의 현상태를 명확히 인지시키기 위함.,공통신탁수탁자 확인
,13,공통,분할지급,B,시기 분할지급,계약금을 2회 이상으로 분할하여 입금,"(계약, 중도, 잔)금 10원 중 5원은 10월 5일에 입금하고 나머지 5원은 10월 10일에 입금한다.",계약 목적물이 신축으로 미등기 건물일 경우.,계약 목적물의 현상태를 명확히 인지시키기 위함.,공통분할지급시기 분할지급
,14,공통,현상태,A,현상태 인지,계약의 목적물에 옵션 또는 인테리어 등을 계약의 당사자가 다르게 인지,"계약의 당사자는 계약의 목적물을 확인하고, 직접 해당 목적물에 방문(2000.00.00)하여 육안으로 확인한 현 시설상태로 계약을 체결한다.",임대차의 경우 통상사용되는 특약이나 임차인의 취소권을 부여하여 불안감 해소가 필요한 경우 ,임차인의 대항력 및 보증금 보존,공통현상태현상태 인지
,15,공통,수리,B,조건부 임대인수리,구축아파트 거래시 확인이 어려운 하자가 예상되는 경우.,"본 계약은 현시설물 상태로 계약을 체결하되, 계약시에 매도(임대)인이 고지하지 않은 부분에 하자가 있을 경우, 하자담보책임과는 별개로 매도(임대)인은 이를 수리해주기로 한다.",계약금 지금 후 잔금이전 매수인이 인테리어공사를 하는 경우.,계약 당사자의 협의된 내용을 명확하게 하기 위함.,공통수리조건부 임대인수리
,16,공통,확인설명,A,서류에 대한 설명,계약의 당사자에게 공인중개사가 중개사의 의무를 충실하게 이행하였음을 명시,"본 매매(임대)계약은 양 당사자가 토지이용계획확인서, 등기사항전부증명서, 건축물관리대장을 확인하고 계약서에 서명날인 한다.",임대인의 불측의 손해를 방지하고 임차인이 계약기간을 다 채울수 없을것이 예상되는 경우,중개수수료 부담 주체 명확,공통확인설명서류에 대한 설명
,17,공통,위반건축물,C,매도인 부담,계약 목적물에 위반건축물이 표시,"매도(임대)인은 본 계약의 목적물의 건축물대장상 위반건축물 관련 사항을 (계약, 중도, 잔)금 지급 시까지 원상복구 시키기로 한다.",준공 전 임대차계약을 하고 사용하는 경우,공인중개사법 제25조(중개대상물의 확인ㆍ설명) 의무.,공통위반건축물매도인 부담
,18,매매,관리비,A,선수관리비,"선수관리비는 매매시, 장기수선충당금은 임차시 반환 기준","잔금일 기준 선수관리비는 매도자에게 반환하고, 매도자는 현 임대차 기간의 장기수선충당 유지금을 현 임차인에게 반환하기로 한다.",,,
,19,공통,채권,A,전부말소,"계약 목적물에 소유권 외 영향을 주는 권리가 설정
(을구)","매도(임대)인은 본 계약의 목적물의 등기사항전부증명서상 을구의 권리(근저당권, 전세권, 임차권, 지상권 등)를 (계약, 중도, 잔)금 지급 시까지 말소 시키기로 한다.",임대인의 요청이 있는 경우,임차인의 금지행위,공통채권전부말소
,20,공통,확인설명,B,서류에 대한 설명,부동산 확인설명의 의무가 되는 서류에 하자부분이 있을경우,"매수(임차)인은 (건축물대장, 등기사항증명서)에 000의 하자가 있음을 확인하였으며, 추후, 이에 대하여 이의를 제기하지 않는다.",선순위근저당으로 임차보증금에 불측의 손실이 발생할 수 있을 경우,거래당사자 협의사항 이행,공통확인설명서류에 대한 설명
,21,매매,국세 및 지방세,B,잔금일 기준,제세공과금을 매도자가 완납,"매도자는 잔금 시, 국세 및 지방세 완납증명서를 매수자에게 제출하기로 한다.",,,
,22,공통,신탁,C,신탁확인,계약 목적물이 신탁회사에 신탁,"계약의 당사자는 본 계약의 목적물이 (관리, 처분, 담보)신탁 중 00신탁에 해당함을 인지하고 계약을 체결한다. ","임차인의 퇴거와 이사, 보증금회수에 차질이 있으면 안되는 경우",새로운 임차인을 구하는 방해요인 제거,공통신탁신탁확인
,23,공통,조건부계약취소,B,손해배상금,계약당사자의 약정을 정하고 그 약정을 위반 할 경우 사용하는 특약사항,본 계약서에 기재되어 있는 특약사항을 위반한 자에게 상대방은 언제든지 계약을 해제 할 수 있으며 이때 손해배상금액은 관련법규에 따른다.,잔금을 전세보증금으로 충당하는 계약을 진행해야 하는 경우,임대인의 비협조 방지,공통조건부계약취소손해배상금
,24,공통,관례,A,부동산 관례,"부동산 계약 시, 계약의 당사자가 모든 합의내용을 정하지 못함

특약내용 종료시 최하단부에 적용",본 특약사항에 기재되지 않은 사항은 민법상 계약에 관한 규정과 기타 부동산 계약에 관한 법률에 따른다.,계약의 당사자가 위약금을 정확하게 명시하길 원하는 경우.,"위약금을 계약금으로 하지않을 경우, 해약금과 위약금을 별도 청구에 대한 분쟁을 막기 위함.",공통관례부동산 관례
,25,공통,위약금,B,위약금 약정,가계약금 입금 후 계약해지시,위약금은 기지급한 계약금으로 한다.,계약의 당사자의 원상복구 기준이 상이하여 분쟁이 예상될 경우.,계약의 목적물의 원상복구 기준을 정하기 위함.,공통위약금위약금 약정
,26,공통,국세 및 지방세,A,잔금일 기준,잔금일이 이사날인 경우,각종 조세 및 공과금은 잔금지급일 기준으로 한다.,계약일의 융통성이 필요한 경우.,불필요한 최고를 막기 위함.,공통국세 및 지방세잔금일 기준
,27,매매,국세 및 지방세,C,매수자부담,양도소득세를 매수자가 부담,양도소득세는 매수(매도)자가 부담한다.,,,
,28,공통,채권,A,전부말소,"등기전부증명서상 채권최고액이 과다하게 설정되었다고 판단

중도금 지급금액으로 채권최고액(근저당권설정) 말소가 가능할 경우",매수(임차)인은 등기전부증명서상 00은행 채권최고액 00원정이 설정되어 있음을 인지하고 계약을 체결한다. 중도금 지급 시 은행에 동행하여 상환 말소하기로 한다.,계약금반환을 담보할 필요가 있는 경우,임차인의 변심을 방지하고 계약해제에 따른 귀책사유 구분,공통채권전부말소
,29,공통,위약금,A,위약금 약정,계약의 당사자가 위약금을 정확하게 명시,위약금은 계약금으로 한다.,"신축아파트 첫 입주의 경우 임대인이 중도금 대출이 있는 경우가 대부분인데, 이때 소유권이전등기와 은행의 근저당권등기는 동시에 해야하는 의무가 있다. 따라서 임차인의 전입신고가 되어 있다면 임대인은 은행에 불이익을 받을 수 있으므로 이때 필요한 특약",임차인의 비협조 방지,공통위약금위약금 약정
,30,공통,대리계약,A,대리계약 기본,소유자를 대리하여 대리인이 계약을 체결,본 계약은 대리인'000'이 소유자'000'을 대리하여 계약을 체결한다.,등기전부즈명서상 채권최고액이 과다하게 설정되었다고 판단 될 경우.,공인중개사법 제25조(중개대상물의 확인ㆍ설명) 의무.,공통대리계약대리계약 기본
,31,매매,급매,B,,매도인이 시세보다 저렴하게 매물을 판매,"본 계약은 매도인의 사정으로 일반시세보다 낮은 금액으로 계약을 체결하기로 한다. 추후, 매도인은 궁박, 경솔 또는 무경험, 착오로 인하여 계약의 무효를 주장할 수 없다.",,,
,32,공통,대리계약,A,위임장 첨부,소유자를 대리하여 대리인이 계약을 체결,"본 계약은 대리인'000'이 소유자'000'의 인감증명서, 인감도장, 위임장을 첨부하여 대리계약을 체결한다.",계약 목적물에 소유권에 영향을 주는 권리가 설정되어 있는 경우.,계약 당사자의 협의된 내용을 명확하게 하기 위함.,공통대리계약위임장 첨부
,33,공통,대리계약,B,공유자 계약,목적물을 2인이상이 공유,"본 계약은 공동소유자 물건으로 위임장을 첨부한 1/2 소유자인 '갑'과 계약하며, 1/2소유권자 '을'의 승낙 하에 계약한다.  (계약, 중도, 잔)금은 1/2씩 공동소유권자 계좌로 입금한다.",계약 목적물에 소유권 외 영향을 주는 권리가 설정되어 있는 경우.,계약 당사자의 협의된 내용을 명확하게 하기 위함.,공통대리계약공유자 계약
,34,공통,대리계약,B,전화확인,대리계약에서 대리인이 대리계약을 위한 일체의 서류를 준비 못함,"본계약은 소유자'000'과 전화 통화 후, 대리인'000'과 계약을 체결하되, 계약금은 소유자'000'의 00은행00계좌로 입금하기로 한다.",계약의 목적물에 옵션 또는 인테리어 등을 계약의 당사자가 다르게 인지하고 있을 경우.,계약당사자간의 불필요한 분쟁을 예방하기 위함.,공통대리계약전화확인
,35,공통,대리계약,C,공인중개사 보관,소유자의 추인서를 받기로 함,"본계약은 대리인'000'이 소유자'000'을 대리하여 계약을 체결하되, 소유자'000'이 추인할 때까지 계약금은 공인중개사법 제31조(계약금등의 반환채무이행의 보장)에 따라 공인중개사가 보관한다.",계약의 당사자에게 공인중개사가 중개사의 의무를 충실하게 이행하였음을 명시할 경우.,공인중개사법 제25조(중개대상물의 확인ㆍ설명) 의무.,공통대리계약공인중개사 보관
,36,공통,대리계약,C,공인중개사 보관,"대리계약을 체결하고 계약, 중도, 잔금을 공인중개사가 예치","본 계약은 소유자를 대리하여 대리인이 계약을 체결하고, 거래의 안전을 보장하기 위하여 공인중개사가 공인중개사법 제 31조(계약금등의 반호나채무이행의 보장)에 따라 (계약, 중도, 잔)금을 보관하기로 하고, 공인중개사는 이에따른 관계증서를 제공하기로 한다.","특약사항 및 확인설명서에 한번 더 확인이 필요하거나, 중요한 사항이 포함학고 있을 경우.",계약의 당사자에게 계약내용을 재확인하기 위함.,공통대리계약공인중개사 보관
,37,공통,신탁,B,수탁자 확인,계약 목적물이 신탁회사에 신탁,"위탁자는 수탁자의 허가를 받지못하여 본 계약이 해지될 경우, 이에따른 손해에 대하여 배상하기로 한다","계약 체결 후, 소유자가 소유권 외 영향을 줄 수 있는 행위에 예방이 필요한 경우.",계약의 안전성을 재고하기 위함.,공통신탁수탁자 확인
,38,공통,대리계약,C,추인,대리계약을 체결하고 정당한 대리권 확인과 대금지급을 동시이행관계로 진행,"본 계약은 대리인'000'이 소유자'000'을 대리하여 계약을 체결하되, 매수(임차)인은 대리인이 소유자의 추인 또는 대리계약의 일체 서류를 추완할 때 계약금을 입금하기로 한다.","매도인이 애초에 지급한 선수관리비는 반환받고, 매도인과 계약했던 임차인이 부담했던 장기수선충당금은 매도인이 반환해야 매수인이 본인이 부담하지 않아도 될 장기수선충당금을 부담하는 문제가 발생하지 않는다",갭투자방식의 매매에서 선수관리비와 임차인이 부담했던 장기수선충단금의 정리가 필요한 경우,공통대리계약추인
,39,공통,채권,A,전부말소,"등기전부증명서상 채권최고액이 과다하게 설정되었다고 판단

잔금 지급금액으로 채권최고액(근저당권설정) 말소가 가능할 경우",매수(임차)인은 등기전부증명서상 00은행 채권최고액 00원정이 설정되어 있음을 인지하고 계약을 체결한다. 잔금 지급 시 은행에 동행하여 상환 말소하기로 한다.,계약금반환을 담보할 필요가 있는 경우,해제사유를 명확히 하여 분쟁을 최소화 할 목적 및 임대인의 계약금반환 명분,공통채권전부말소
,40,공통,채권,A,전부말소,"계약 목적물에 소유권에 영향을 주는 권리가 설정
(갑구)","매도(임대)인은 본 계약의 목적물의 등기사항전부증명서상 갑구의 권리(압류,가압류,가등기,가처분 등)를 (계약, 중도, 잔)금 지급 시까지 말소 시키기로 한다.","계약 목적물에 임대인이 전입신고 되어, 임차인이 전입신고를 못하는 경우.",계약당사자간의 불필요한 분쟁을 예방하기 위함.,공통채권전부말소
,41,공통,신탁,C,신탁원부,계약 목적물이 신탁회사에 신탁,"계약의 당사자는 본 계약 체결 시, 중개사가 설명한 신탁원부를 확인하고 계약을 체결한다.",신축아파트는 하자조사 및 보수가 수시로 이루어지기 때문에 임차인이 협조적이지 않다면 하자보수조치를 받지 못한 임대인에게 손실이 발생할 수 있다,임차인의 비협조 방지,공통신탁신탁원부
,42,매매,대출,C,매수인 부담,계약 목적물에 대출이 설정되어 해당 대출을 매수인이 승계 또는 말소를 결정,"매수인은 대출금을 중도금 지급전까지 말소와 승계를 결정하여 매도인에게 통보한다.
단, 대출금액의 가감 및 승계 적격여부는 매수인 책임이며 대출말소비용은 매도인이 부담하고 대출승계비용은 매수인이 부담한다.",,,
,43,매매,리모델링,A,리모델링 금액협의,계약의 목적물에 옵션 또는 인테리어 등이 매매대금에 포함,"기본 시설물 외 설치한 옵션(붙박이장, 샹들리에, 도어록, 비데 등)은 매매대금에 포함한다.",,,
,44,매매,면적,B,매수인 책임,건물의 면적과 실측된 면적이 다름,"대지, 건물면적은 권리면적(공부상)기준으로 한 매매이며, 향후 실측면적과 차이가 있더라도 매수인 및 매도인은 일체의 이의를 제기하지 않기로 한다.",,,
,45,매매,무허가건축물,C,비용부담 매도인/매수인,계약의 목적물이 무허가 건물,"본 매매건물은 무허가 건물로서 해당관청 무허가 건물대장에 등재되어 있음을 확인하고 계약하며, 건축물 점유에 따른 부과비용등은 해당잔금일을 기준으로 정산한다.",,,
,46,매매,복합계약,B,매매 후 임대,매도인이 매매계약 후 매수인과 임대차계약을 체결,"매수인은 본 매매계약의 잔금과 동시에 매도인과 전(월)세 계약을 체결한다. 임대조건은 전(월)세 보증금00원, 계약기간 2년으로 체결한다.",,,
,47,매매,복합계약,B,매매 후 임대,매도인이 매매계약 후 매수인과 임대차계약을 체결하며 임대보증금을 잔금에서 갈음,매수인은 본 매매계약의 잔금과 동시에 매도인과 전(월)세 계약을 체결한다.잔금10원은 잔금일에 5원을 입금하고 나머지 5원은 임대보증금으로 갈음한다.,,,
,48,매매,복합계약,B,임대 중 매매,계약의 목적물에 거주하고 있던 임차인이 임대인과 매매계약을 체결,"본 계약은 임차인이 현재 거주하고 있는 임대목적물을 임대인으로 부터 매매하는 계약이며, 임차인이 임대인에게 지급한 임대보증금00원은 (계약, 중도, 잔)금으로 갈음 하고, 임대보증금 반환의무는 소멸시키기로 한다.",,,
,49,매매,분양권,B,매도인 부담,"분양권을 매수,매도",매도인이 신청한 옵션품목은 매수자가 일괄 인수하고 매매대금과는 별도로 매도인이 납부한 금액을 지금하기로 한다.,,,
